01,133,99,80,62,6550518201,Ben rubiano Ortiz,1,5,A,32,NB
88,465,05,85,67,3698450153,Eleazar arrieta Ruiz,7,3,C,65,F
31,079,04,07,38,4110521451,Inna García Castro,9,6,C,69,F
11,006,99,09,25,5664308111,Juan diaz cuadrado,8,2,C,31,F
11,001,98,01,65,5963037167,Santiago García Ortiz,1,5,A,27,M
16,001,05,32,35,2770536151,Jesús agudelo Ortiz,6,2,C,38,F
23,088,99,05,94,3539103657,Jimena Inna Arias,4,6,C,24,F
21,070,99,13,75,4697374770,Noah García Dammer,4,3,C,27,M
27,045,99,01,79,8010724270,Noah agudelo Dammer,8,4,A,66,F
15,109,99,02,32,2221714434,Mateo uribe Herrera,10,7,A,58,M
88,815,52,04,60,9613510321,Liam  agusto  Londoño,3,5,A,29,NB
17,006,99,33,35,3658943309,Safia florinda cuadrado,0,4,C,69,NB
64,025,99,13,30,4367167206,Eleazar JOHNSON Ramos,8,5,A,37,NB
11,087,99,55,53,1271791446,Noah García Hernández,9,7,A,22,M
29,001,08,01,51,8672180299,Inna Moncada Hernández,6,3,A,58,NB
29,124,00,00,28,1404498235,Marta casallas cuadrado,3,2,C,41,M
09,130,90,01,49,3519436552,Marta ovalle Castro,9,5,C,36,M
26,020,99,54,87,2295020268,Liam Inna Dammer,9,4,A,74,M
16,001,03,23,39,8433399302,Safia uribe Herrera,7,7,C,18,F
01,001,22,01,33,2329628683,Fabio rubiano Ramos,8,6,C,55,M
13,046,99,13,77,4556303467,Víctor vega Dammer,7,3,C,44,F
88,665,05,86,15,1587246196,Víctor diaz Ortiz,2,2,A,52,NB
16,001,15,11,75,9890031790,Lara florinda cuadrado,3,2,C,54,F
88,360,57,85,21,2091551238,Safia  Martínez Castro,2,2,C,29,NB
28,220,99,90,10,5940879537,Cesar  Martínez Ramírez,9,5,C,61,NB
11,031,99,37,90,5966153327,Zuzen florinda pitt,0,4,C,42,NB
88,683,05,05,86,9476070166,Noah vega duran,10,5,A,73,F
01,151,90,01,42,4982934095,Eleazar rojas  Londoño,0,4,C,24,NB
07,142,00,00,93,3094087133,Jimena rolda Ruiz,7,5,A,64,NB
13,031,00,00,43,2329823833,Eleazar rogers duran,6,3,A,35,NB
29,046,98,01,59,9609348307,tony Núñez Arias,6,7,C,58,F
17,031,99,17,77,1661511226,Jimena Moncada Ramírez,0,2,C,27,NB
07,223,00,00,81,2317867563,Mateo rubiano Ruiz,8,6,A,40,M
28,050,99,50,29,9655739721,Radu uribe Herrera,2,5,A,37,M
01,076,99,22,54,8891462284,Radu duque Dammer,9,7,C,48,M
05,009,99,17,88,1482373391,Safia casallas rubio,4,5,A,26,NB
05,001,12,03,51,2241480765,Santiago casallas Gutiérrez,8,7,A,32,NB
01,184,99,02,24,9299434091,Noah vega  López,3,5,C,25,M
27,193,99,05,95,2477984097,Cesar  agusto nieto,0,1,A,36,M
16,001,06,01,43,5071538091,Paker uribe Ramírez,4,6,C,25,F
29,082,99,07,29,9161652922,Adara duque pitt,4,2,C,22,F
11,091,99,34,16,1398109891,Ben García alcapone,2,7,C,75,M
88,170,05,83,61,9692549333,Lara ovalle Herrera,1,4,A,61,F
52,001,12,04,77,5748701788,Ben rubiano Castro,6,6,C,54,NB
29,001,03,04,81,1991327278,tony uribe Ortiz,7,2,C,26,M
11,025,99,69,10,7582957774,Eleazar vega  Londoño,10,2,A,25,M
17,010,99,25,63,1917707091,Liam rubiano Arias,9,2,C,32,F
44,001,01,04,48,6999778552,Jimena uribe guarin,2,5,A,55,F
29,124,99,04,76,6667513451,Inna vega rubio,6,6,C,66,NB
