01,064,99,80,51,485,9369908092,Jeferson,agudelo,rubio,3,9,42,48,M,85098760
23,043,99,43,26,668,3279101376,Lara,rubiano,Dammer,3,3,19,30,NB,13970782
19,112,07,44,51,801,4675083408,Eleazar,rogers,alcapone,1,8,31,70,F,57142523
12,109,55,02,16,837,5656374522,Inna,rubiano,Arias,1,10,79,56,F,90043738
13,360,02,10,77,857,3568115872,Eleazar,García, Londoño,3,7,79,31,M,99113588
26,008,99,49,29,952,7692514712,Paker,diaz,Hernández,3,1,12,36,M,66838946
16,505,99,35,79,318,9141115683,Jimena,casallas,Gutiérrez,1,10,65,60,F,53150580
17,001,99,52,12,768,1318691420,Eleazar,rolda,Castro,4,6,51,29,NB,88639423
03,410,99,03,50,301,3134293232,Juan,florinda,pitt,3,9,66,30,F,23387374
31,600,99,00,31,833,4512103340,Paker,casallas,Quintero,4,3,25,67,F,78102669
01,001,99,86,18,138,9618916018,Cesar,uribe,guarin,1,5,47,73,M,10771195
15,006,99,87,42,890,8019304141,Zuzen,rogers,Ortiz,2,1,29,54,NB,79577410
48,040,99,01,64,925,2499992315,Mateo, Martínez,Ramos,4,9,96,67,NB,57756690
12,007,99,01,43,317,8536090929,tony,agudelo,Dammer,2,6,45,42,M,87632139
23,001,99,26,81,258,8437755503,Lara,JOHNSON,nieto,3,4,18,56,F,62102999
11,006,99,30,94,409,2062025546,Víctor,casallas,Quintero,4,0,85,55,F,13861485
17,360,18,05,83,521,3998547256,Marta,uribe,pitt,2,7,96,39,NB,17506503
27,073,90,19,39,501,7351084507,Marta, agusto,Mosquera,3,0,53,75,F,17953417
28,059,30,17,91,523,8776160574,Zuzen,JOHNSON,Herrera,4,6,77,31,NB,28865700
23,001,00,87,58,707,5214332475,Cesar,ovalle,alcapone,4,7,38,29,M,64794327
88,117,01,18,50,22,2072227646,Safia,Rocha,Arias,2,2,97,20,M,52949614
54,256,99,41,88,968,8498667684,Radu,rubiano,Dammer,4,8,54,41,NB,50441245
11,043,19,08,76,926,2346430346,Mateo,diaz,pitt,4,2,83,61,F,48537106
16,082,99,69,95,531,9717886819,Juan,aristizabal,chud,4,3,46,54,F,21705302
23,283,00,75,90,930,7935850361,Víctor,Moncada,rubio,2,7,41,75,F,99858596
27,028,99,37,40,830,1162148500,Zuzen,rojas,Mosquera,1,3,13,73,M,10038986
29,025,09,A1,31,187,6203785368,Jimena,arrieta,duran,3,2,79,66,F,46180530
13,037,99,01,57,803,2457217966,Eleazar,Moncada,Mosquera,1,2,29,41,F,22583533
03,121,99,70,44,918,1230544374,Eleazar,casallas,rincon,1,10,59,42,F,12442070
27,360,05,00,64,686,7280210457,Eleazar,JOHNSON,Hernández,3,5,63,72,NB,69651676
28,001,05,06,49,693,2444207538,Safia,rubiano,guarin,3,3,10,28,F,10577807
19,001,99,06,75,856,3464462170,Safia,Núñez,Arias,1,1,70,44,F,68799881
25,360,99,04,30,958,6723184142,Juan,duque, López,2,1,10,39,M,70475138
01,076,01,17,39,776,4660631778,Ben,agudelo,duran,1,8,50,49,F,69054763
13,247,13,87,34,47,9278996781,Jimena,casallas,Ramírez,1,4,48,34,M,54964904
88,031,00,07,40,345,7239646628,Jeferson,agudelo,guarin,3,7,80,25,M,39411257
17,231,05,45,24,659,4272985640,Jimena,aristizabal,Ortiz,3,1,22,71,M,70904640
31,001,52,03,42,216,4658762680,Radu,Rocha,Gutiérrez,2,6,33,66,F,33753583
23,060,99,37,10,896,7992319715,Liam,duque,Herrera,3,0,46,75,NB,12125121
16,010,05,58,59,610,9330128841,Santiago,Rocha,pitt,2,8,49,46,NB,85906478
27,001,11,16,33,466,3331386116,tony,rubiano, López,1,9,21,68,M,92178283
23,113,99,01,50,860,9064690635,Lara,uribe,pitt,1,1,22,64,F,13004802
16,022,99,17,55,609,4213036593,Inna,rogers,nieto,1,6,79,72,F,23801680
25,001,99,17,32,661,9717949581,Noah, Martínez,Herrera,1,1,47,60,M,45994125
05,001,04,37,82,915,1106368045,Ben,Moncada, López,3,10,43,47,F,84796517
17,001,99,50,37,546,8837246145,Paker,Rocha,duran,2,6,30,72,M,86857453
23,170,98,00,69,993,1304073375,Zuzen,vega,Ramos,2,10,12,49,M,11025534
01,085,99,03,86,104,2552130094,Víctor,duque,alcapone,2,9,72,28,F,43915748
12,049,99,70,63,439,2369884614,Jimena, Martínez,veloza,4,0,68,61,NB,21769057
25,465,00,00,98,445,7577681205,Jeferson,diaz,veloza,4,5,40,60,NB,38246526
23,001,99,02,14,289,3910094151,Marta,florinda,Gutiérrez,3,6,75,53,NB,72418286
29,031,99,24,72,618,5913659972,Lara,Rocha, López,1,4,31,19,NB,18495783
